Year,UK_Pretax_income_top1,USA_Pretax_income_top1,"UK Pre-tax national income Bottom 50%
","USA_Pre-tax_income_bottom50
","UK_wealth_top1
","USA_wealth_top1
","USA_wealth_bottom50
", UK_pop_avg_income ," USA_pop_avg_income
 "," USA_GDP_2019
 "," UK_GDP_2019
 "
1920,,0.1839,,0.1501,0.5731,0.3604,," $8,501.08 "," $8,921.65 ",," $8,762.02 "
1921,,0.1805,,0.1406,0.6054,0.3718,," $7,594.05 "," $8,045.36 ",," $7,756.02 "
1922,,0.1755,,0.1436,0.6174,0.4032,," $7,820.78 "," $8,732.54 ",," $8,062.90 "
1923,,0.1698,,0.1504,0.6024,0.3572,," $7,874.35 "," $9,826.59 ",," $8,080.26 "
1924,,0.1766,,0.1429,0.5946,0.3778,," $8,020.52 "," $9,701.18 ",," $8,216.80 "
1925,,0.2002,,0.1375,0.6027,0.4117,," $8,236.37 "," $9,875.82 ",," $8,391.12 "
1926,,0.2139,,0.1365,0.5689,0.4282,," $7,960.67 "," $10,336.87 ",," $8,045.84 "
1927,,0.2048,,0.1385,0.5911,0.4527,," $8,583.84 "," $10,146.99 ",," $8,651.54 "
1928,,0.215,,0.1358,0.5646,0.4809, ," $8,478.90 "," $10,256.72 ",," $8,551.62 "
1929,,0.2124,,0.1391,0.5632,0.4824,," $8,651.33 "," $10,256.72 ",," $8,739.01 "
1930,,0.1825,,0.1416,0.5694,0.4365,," $8,663.88 "," $10,256.72 ",," $8,744.66 "
1931,,0.1593,,0.1414,0.5311,0.3889,," $8,289.73 "," $10,256.72 ",," $8,428.05 "
1932,,0.1579,,0.1365,0.5432,0.3849,," $8,115.73 "," $10,256.72 ",," $8,348.43 "
1933,,0.1729,,0.1361,0.5595,0.4068,," $8,309.82 "," $10,256.72 ",," $8,620.46 "
1934,,0.1737,,0.1343,0.538,0.4136,," $8,724.36 "," $10,256.72 ",," $8,973.37 "
1935,,0.1788,,0.1412,0.5398,0.4084,," $8,967.72 "," $10,256.72 ",," $9,218.00 "
1936,,0.1978,,0.1402,0.5343,0.4337,," $9,322.00 "," $10,256.72 ",," $9,576.45 "
1937,,0.1948,,0.1437,0.5313,0.4407,," $9,476.85 "," $10,256.72 ",," $9,767.30 "
1938,,0.1749,,0.1435,0.5407,0.4013,," $9,556.57 "," $10,256.72 ",," $9,847.34 "
1939,,0.188,,0.1398,0.5119,0.4121,," $9,835.20 "," $10,256.72 ",," $10,167.61 "
1940,,0.2014,,0.142,0.5098,0.3822,," $9,998.00 "," $10,256.72 ",," $10,399.46 "
1941,,0.2127,,0.1486,0.4985,0.3503,," $10,869.04 "," $10,256.72 ",," $11,310.57 "
1942,,0.2046,,0.1809,0.4985,0.3449,," $11,061.03 "," $10,256.72 ",," $11,534.06 "
1943,,0.1889,,0.1904,0.4985,0.3468,," $11,185.33 "," $10,256.72 ",," $11,794.69 "
1944,,0.1588,,0.1961,0.4985,0.32,," $10,891.74 "," $10,256.72 ",," $11,528.09 "
1945,,0.1487,,0.1569,0.4985,0.3222,," $10,274.33 "," $10,256.72 ",," $10,892.47 "
1946,,0.1472,,0.1705,0.4608,0.3007,," $10,030.65 "," $10,256.72 ",," $10,697.45 "
1947,,0.1554,,0.1722,0.4495,0.2886,," $10,013.07 "," $10,256.72 ",," $10,731.45 "
1948,,0.1682,,0.1739,0.4439,0.2828,," $10,227.24 "," $10,256.72 ",," $11,072.54 "
1949,0.1387,0.1619,,0.1709,0.4338,0.2742,," $10,599.30 "," $10,256.72 ",," $11,405.99 "
1950,0.1387,0.1729,,0.1755,0.4304,0.2872,," $10,688.66 "," $15,507.51 "," $17,378.55 "," $11,559.38 "
1951,0.1317,0.166,,0.1845,0.4185,0.2828,," $11,164.61 "," $16,624.61 "," $18,594.74 "," $11,979.46 "
