date,Natural Gas,Wind,Coal,Solar,Water,Nuclear
2021-08-13T05:00:00Z,25229,12808,11059,0,57,4991
2021-08-13T04:00:00Z,28925,13232,11000,0,57,4989
2021-08-13T03:00:00Z,32030,13971,11040,0,58,4988
2021-08-13T02:00:00Z,35158,13078,11299,28,57,4988
2021-08-13T01:00:00Z,37255,12348,11416,735,59,4987
2021-08-13T00:00:00Z,37437,13286,11421,2141,59,4987
2021-08-12T23:00:00Z,38699,12663,11429,3089,59,4987
2021-08-12T22:00:00Z,39481,11950,11395,3919,58,4987
2021-08-12T21:00:00Z,39461,10923,11322,5340,58,4988
2021-08-12T20:00:00Z,38987,9747,11414,5993,57,4990
2021-08-12T19:00:00Z,37955,8778,11394,6077,54,4990
2021-08-12T18:00:00Z,33932,9847,11405,5884,97,4992
2021-08-12T17:00:00Z,28167,12420,11226,5711,118,4993
2021-08-12T16:00:00Z,23348,14478,10921,4779,152,4993
2021-08-12T15:00:00Z,20214,14548,10490,4309,75,4993
2021-08-12T14:00:00Z,19400,12613,10835,2884,75,4993
2021-08-12T13:00:00Z,18398,14142,10222,419,56,4992
2021-08-12T12:00:00Z,17241,15369,10020,0,55,4992
2021-08-12T11:00:00Z,15824,16313,8971,0,55,4991
2021-08-12T10:00:00Z,14883,17480,7995,0,55,4991
2021-08-12T09:00:00Z,14531,18557,7661,0,55,4990
2021-08-12T08:00:00Z,14463,19267,8230,0,55,4989
2021-08-12T07:00:00Z,14947,19426,9498,0,74,4989
2021-08-12T06:00:00Z,16252,19869,10258,0,56,4989
2021-08-12T05:00:00Z,18883,19961,10956,0,55,4988
2021-08-12T04:00:00Z,23347,19201,11280,0,55,4986
2021-08-12T03:00:00Z,29194,17127,11355,0,55,4985
2021-08-12T02:00:00Z,33410,14985,11367,96,55,4985
2021-08-12T01:00:00Z,34183,14925,11425,1463,55,4989
2021-08-12T00:00:00Z,34150,15297,11401,3390,51,4991
2021-08-11T23:00:00Z,34632,15548,11342,3690,50,4984
2021-08-11T22:00:00Z,33955,15400,11341,5084,50,4984
2021-08-11T21:00:00Z,34518,14801,11338,5288,50,4985
2021-08-11T20:00:00Z,34556,14228,11334,5690,50,4987
2021-08-11T19:00:00Z,33610,12953,11312,6020,51,4990
2021-08-11T18:00:00Z,30408,13102,11256,6072,61,4992
2021-08-11T17:00:00Z,26451,13748,11131,5810,113,4994
2021-08-11T16:00:00Z,21924,15090,10998,5079,148,4994
2021-08-11T15:00:00Z,18391,15357,10944,4555,71,4994
2021-08-11T14:00:00Z,17975,14149,10807,2592,67,4994
2021-08-11T13:00:00Z,16088,15865,10662,404,51,4994
2021-08-11T12:00:00Z,15045,16765,10365,1,51,4993
2021-08-11T11:00:00Z,13989,17351,9261,0,51,4993
2021-08-11T10:00:00Z,13263,18170,8466,0,50,4992
2021-08-11T09:00:00Z,13071,19223,8247,0,51,4991
2021-08-11T08:00:00Z,13221,20109,8501,0,51,4991
2021-08-11T07:00:00Z,13670,20849,9203,0,70,4990
2021-08-11T06:00:00Z,15128,20900,10218,0,51,4990
2021-08-11T05:00:00Z,17706,21169,10868,0,51,4992
2021-08-11T04:00:00Z,22226,20667,11003,0,50,4992
2021-08-11T03:00:00Z,27375,19398,10979,0,50,4989
2021-08-11T02:00:00Z,31202,18151,10934,33,50,4988
2021-08-11T01:00:00Z,31499,19493,10882,1042,50,4988
2021-08-11T00:00:00Z,32507,19525,10843,2612,69,4988
2021-08-10T23:00:00Z,33183,18800,10887,3865,71,4988
2021-08-10T22:00:00Z,32878,18559,10870,4960,73,4988
2021-08-10T21:00:00Z,32565,18318,10862,5502,72,4989
2021-08-10T20:00:00Z,32388,17727,10899,5849,71,4990
2021-08-10T19:00:00Z,30676,17162,10890,5866,51,4991
2021-08-10T18:00:00Z,27799,17857,10938,4868,58,4993
2021-08-10T17:00:00Z,24106,18386,10904,4541,93,4995
2021-08-10T16:00:00Z,19897,19106,11035,4138,85,4995
2021-08-10T15:00:00Z,16347,19266,11035,3712,51,4995
2021-08-10T14:00:00Z,15628,17370,10747,2972,50,4996
2021-08-10T13:00:00Z,15103,18085,10616,382,51,4996
2021-08-10T12:00:00Z,14167,19140,10274,0,49,4998
2021-08-10T11:00:00Z,12571,20171,9363,0,48,4998
2021-08-10T10:00:00Z,12038,21057,8331,0,48,4997
2021-08-10T09:00:00Z,11987,21408,8431,0,48,4996
2021-08-10T08:00:00Z,12113,21623,9178,0,48,4994
2021-08-10T07:00:00Z,12956,21901,9930,0,48,4992
2021-08-10T06:00:00Z,14677,22303,10406,0,48,4992
2021-08-10T05:00:00Z,17773,22117,10938,0,48,4992
2021-08-10T04:00:00Z,21740,22117,10976,0,48,4992
2021-08-10T03:00:00Z,26186,21495,11059,0,48,4991
2021-08-10T02:00:00Z,29898,20223,11096,61,48,4990
2021-08-10T01:00:00Z,31739,19570,11021,1232,48,4989
2021-08-10T00:00:00Z,33599,18287,10985,3073,67,4988
2021-08-09T23:00:00Z,34472,16623,10975,4985,69,4989
2021-08-09T22:00:00Z,35023,15974,11088,5443,73,4989
2021-08-09T21:00:00Z,35032,15239,11082,6104,75,4990
2021-08-09T20:00:00Z,34401,15038,11065,6245,75,4991
2021-08-09T19:00:00Z,31913,15480,11016,6409,53,4992
2021-08-09T18:00:00Z,28586,15867,10894,6447,94,4993
2021-08-09T17:00:00Z,24281,16866,10897,6403,95,4996
2021-08-09T16:00:00Z,19817,17996,10745,6156,87,4995
2021-08-09T15:00:00Z,15942,18530,10899,5319,53,4994
2021-08-09T14:00:00Z,15563,17457,10725,3105,53,4995
2021-08-09T13:00:00Z,14892,18507,10569,390,53,4994
2021-08-09T12:00:00Z,13856,19453,10256,0,53,4993
2021-08-09T11:00:00Z,12700,20002,9438,0,53,4992
2021-08-09T10:00:00Z,12109,20565,8538,0,53,4992
2021-08-09T09:00:00Z,12188,20747,8537,0,53,4991
2021-08-09T08:00:00Z,12244,21177,9148,0,53,4991
2021-08-09T07:00:00Z,12679,21325,10139,0,53,4990
2021-08-09T06:00:00Z,14530,21251,10612,0,53,4990
2021-08-09T05:00:00Z,17818,20711,10978,0,53,4988
2021-08-09T04:00:00Z,22901,19348,10963,0,54,4988
2021-08-09T03:00:00Z,27041,18703,10911,0,54,4988
2021-08-09T02:00:00Z,30700,16964,10937,134,54,4987
2021-08-09T01:00:00Z,31720,16038,10910,2025,59,4986
2021-08-09T00:00:00Z,33249,15204,10908,3574,74,4987
2021-08-08T23:00:00Z,34216,14411,10903,4308,74,4985
2021-08-08T22:00:00Z,33543,14243,10951,4928,74,4985
2021-08-08T21:00:00Z,32277,13961,10903,5693,75,4986
2021-08-08T20:00:00Z,30836,14116,10922,5810,73,4991
2021-08-08T19:00:00Z,27663,14844,10902,6047,54,5007
2021-08-08T18:00:00Z,23595,16387,10746,6059,102,4993
2021-08-08T17:00:00Z,19051,18238,10501,5735,103,4991
2021-08-08T16:00:00Z,15509,19930,9974,4196,137,4990
2021-08-08T15:00:00Z,13076,19802,8929,3514,60,4991
2021-08-08T14:00:00Z,12321,17459,8217,3082,60,4990
2021-08-08T13:00:00Z,12127,17821,7762,448,61,4989
2021-08-08T12:00:00Z,11994,18719,7440,0,60,4988
2021-08-08T11:00:00Z,11953,19885,6660,0,60,4989
2021-08-08T10:00:00Z,11773,21011,6248,0,60,4987
2021-08-08T09:00:00Z,11779,21988,6321,0,61,4986
2021-08-08T08:00:00Z,11806,22404,7270,0,61,4985
2021-08-08T07:00:00Z,11865,22673,8708,0,60,4987
2021-08-08T06:00:00Z,12564,23039,9975,0,55,4988
2021-08-08T05:00:00Z,14502,22907,10808,0,55,4986
2021-08-08T04:00:00Z,18269,22035,10980,0,55,4982
2021-08-08T03:00:00Z,22610,20621,10925,0,54,4987
2021-08-08T02:00:00Z,25788,19363,10921,172,54,4982
2021-08-08T01:00:00Z,26766,18691,11031,2221,55,4981
2021-08-08T00:00:00Z,27064,18463,11006,4759,74,4980
2021-08-07T23:00:00Z,28014,17852,11036,5708,74,4985
2021-08-07T22:00:00Z,28091,17300,10931,6101,74,4982
2021-08-07T21:00:00Z,27191,17025,10995,6211,74,4980
2021-08-07T20:00:00Z,26248,17145,11003,6278,74,4982
2021-08-07T19:00:00Z,24754,17147,10985,6365,55,4997
2021-08-07T18:00:00Z,22410,17211,10956,6009,60,4989
2021-08-07T17:00:00Z,19458,17639,10809,5081,103,4993
2021-08-07T16:00:00Z,16620,17857,10190,4189,138,4988
2021-08-07T15:00:00Z,14517,16880,9336,3839,62,5004
2021-08-07T14:00:00Z,13667,14075,10079,2313,62,4997
2021-08-07T13:00:00Z,12818,14656,9369,343,62,4995
2021-08-07T12:00:00Z,12491,15084,9134,0,62,5005
2021-08-07T11:00:00Z,12321,15640,8447,0,61,4990
2021-08-07T10:00:00Z,12330,16630,7453,0,61,4982
2021-08-07T09:00:00Z,12234,17550,7399,0,62,4981
2021-08-07T08:00:00Z,12115,18305,7955,0,62,4981
2021-08-07T07:00:00Z,12385,19116,8714,0,61,4981
2021-08-07T06:00:00Z,13454,19328,9682,0,62,4983
