"","x","y","x_cord_Quartet 1","x_cord_Quartet 2","x_cord_Quartet 3","x_cord_Quartet 4","y_cord_Quartet 1","y_cord_Quartet 2","y_cord_Quartet 3","y_cord_Quartet 4"
"1",10,8.04,10,NA,NA,NA,8.04,NA,NA,NA
"2",8,6.95,8,NA,NA,NA,6.95,NA,NA,NA
"3",13,7.58,13,NA,NA,NA,7.58,NA,NA,NA
"4",9,8.81,9,NA,NA,NA,8.81,NA,NA,NA
"5",11,8.33,11,NA,NA,NA,8.33,NA,NA,NA
"6",14,9.96,14,NA,NA,NA,9.96,NA,NA,NA
"7",6,7.24,6,NA,NA,NA,7.24,NA,NA,NA
"8",4,4.26,4,NA,NA,NA,4.26,NA,NA,NA
"9",12,10.84,12,NA,NA,NA,10.84,NA,NA,NA
"10",7,4.82,7,NA,NA,NA,4.82,NA,NA,NA
"11",5,5.68,5,NA,NA,NA,5.68,NA,NA,NA
"12",10,9.14,NA,10,NA,NA,NA,9.14,NA,NA
"13",8,8.14,NA,8,NA,NA,NA,8.14,NA,NA
"14",13,8.74,NA,13,NA,NA,NA,8.74,NA,NA
"15",9,8.77,NA,9,NA,NA,NA,8.77,NA,NA
"16",11,9.26,NA,11,NA,NA,NA,9.26,NA,NA
"17",14,8.1,NA,14,NA,NA,NA,8.1,NA,NA
"18",6,6.13,NA,6,NA,NA,NA,6.13,NA,NA
"19",4,3.1,NA,4,NA,NA,NA,3.1,NA,NA
"20",12,9.13,NA,12,NA,NA,NA,9.13,NA,NA
"21",7,7.26,NA,7,NA,NA,NA,7.26,NA,NA
"22",5,4.74,NA,5,NA,NA,NA,4.74,NA,NA
"23",10,7.46,NA,NA,10,NA,NA,NA,7.46,NA
"24",8,6.77,NA,NA,8,NA,NA,NA,6.77,NA
"25",13,12.74,NA,NA,13,NA,NA,NA,12.74,NA
"26",9,7.11,NA,NA,9,NA,NA,NA,7.11,NA
"27",11,7.81,NA,NA,11,NA,NA,NA,7.81,NA
"28",14,8.84,NA,NA,14,NA,NA,NA,8.84,NA
"29",6,6.08,NA,NA,6,NA,NA,NA,6.08,NA
"30",4,5.39,NA,NA,4,NA,NA,NA,5.39,NA
"31",12,8.15,NA,NA,12,NA,NA,NA,8.15,NA
"32",7,6.42,NA,NA,7,NA,NA,NA,6.42,NA
"33",5,5.73,NA,NA,5,NA,NA,NA,5.73,NA
"34",8,6.58,NA,NA,NA,8,NA,NA,NA,6.58
"35",8,5.76,NA,NA,NA,8,NA,NA,NA,5.76
"36",8,7.71,NA,NA,NA,8,NA,NA,NA,7.71
"37",8,8.84,NA,NA,NA,8,NA,NA,NA,8.84
"38",8,8.47,NA,NA,NA,8,NA,NA,NA,8.47
"39",8,7.04,NA,NA,NA,8,NA,NA,NA,7.04
"40",8,5.25,NA,NA,NA,8,NA,NA,NA,5.25
"41",19,12.5,NA,NA,NA,19,NA,NA,NA,12.5
"42",8,5.56,NA,NA,NA,8,NA,NA,NA,5.56
"43",8,7.91,NA,NA,NA,8,NA,NA,NA,7.91
"44",8,6.89,NA,NA,NA,8,NA,NA,NA,6.89
